sample_id	media_family	variant	parse_chain	orig_bytes	modelled_bytes	store_bytes	chosen_bytes	selected	blocks	bits_frame_header	bits_block_headers	bits_table_descriptors	bits_literals	bits_lengths	bits_length_extra	bits_distances	bits_distance_extra	bits_eob	bits_checksum	bits_context_map	gzip9	brotli11	static_best_today	cm2_champion
javascript-medium-magic-string-v2	javascript	V3-whole-file-ctx2	opt256	42936	9449	42952	9449	web-scheme	1	88	3	1161	16442	15708	1923	15009	25074	11	32	138	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V3-whole-file-ctx3	opt256	42936	9454	42952	9454	web-scheme	1	88	3	1376	16195	15774	1923	15009	25074	11	32	142	9896	8672	11701	7242
javascript-medium-magic-string-v2	javascript	V4-64KiB-blocks-ctx2	opt256	42936	9449	42952	9449	web-scheme	1	88	3	1161	16442	15708	1923	15009	25074	11	32	138	9896	8672	11701	7242
javascript-medium-sourcemap-codec-v2	javascript	V1-whole-file	16	14590	3741	14605	3741	web-scheme	1	80	3	524	7817	6319	610	5679	8846	11	32	0	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V2-64KiB-blocks	16	14590	3741	14605	3741	web-scheme	1	80	3	524	7817	6319	610	5679	8846	11	32	0	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V3-whole-file-ctx2	16	14590	3735	14605	3735	web-scheme	1	80	3	840	7360	6280	610	5679	8846	10	32	138	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V3-whole-file-ctx3	16	14590	3730	14605	3730	web-scheme	1	80	3	1019	7153	6262	610	5679	8846	10	32	142	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V4-64KiB-blocks-ctx2	16	14590	3735	14605	3735	web-scheme	1	80	3	840	7360	6280	610	5679	8846	10	32	138	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V1-whole-file	128	14590	3681	14605	3681	web-scheme	1	80	3	521	7666	6254	633	5492	8753	11	32	0	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V2-64KiB-blocks	128	14590	3681	14605	3681	web-scheme	1	80	3	521	7666	6254	633	5492	8753	11	32	0	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V3-whole-file-ctx2	128	14590	3680	14605	3680	web-scheme	1	80	3	848	7299	6149	633	5492	8753	10	32	138	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V3-whole-file-ctx3	128	14590	3675	14605	3675	web-scheme	1	80	3	1028	7098	6128	633	5492	8753	10	32	142	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V4-64KiB-blocks-ctx2	128	14590	3680	14605	3680	web-scheme	1	80	3	848	7299	6149	633	5492	8753	10	32	138	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V1-whole-file	1024	14590	3678	14605	3678	web-scheme	1	80	3	521	7688	6232	632	5476	8743	11	32	0	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V2-64KiB-blocks	1024	14590	3678	14605	3678	web-scheme	1	80	3	521	7688	6232	632	5476	8743	11	32	0	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V3-whole-file-ctx2	1024	14590	3676	14605	3676	web-scheme	1	80	3	841	7326	6121	632	5476	8743	10	32	138	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V3-whole-file-ctx3	1024	14590	3671	14605	3671	web-scheme	1	80	3	1020	7125	6100	632	5476	8743	10	32	142	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V4-64KiB-blocks-ctx2	1024	14590	3676	14605	3676	web-scheme	1	80	3	841	7326	6121	632	5476	8743	10	32	138	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V1-whole-file	opt256	14590	3560	14605	3560	web-scheme	1	80	3	525	7838	6032	605	5275	8073	11	32	0	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V2-64KiB-blocks	opt256	14590	3560	14605	3560	web-scheme	1	80	3	525	7838	6032	605	5275	8073	11	32	0	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V3-whole-file-ctx2	opt256	14590	3563	14605	3563	web-scheme	1	80	3	868	7449	5969	605	5275	8073	10	32	138	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V3-whole-file-ctx3	opt256	14590	3559	14605	3559	web-scheme	1	80	3	1053	7287	5910	605	5275	8073	10	32	142	3705	3280	5045	2893
javascript-medium-sourcemap-codec-v2	javascript	V4-64KiB-blocks-ctx2	opt256	14590	3563	14605	3563	web-scheme	1	80	3	868	7449	5969	605	5275	8073	10	32	138	3705	3280	5045	2893
javascript-small-resolve-uri-v2	javascript	V1-whole-file	16	9866	2895	9881	2895	web-scheme	1	80	3	494	6775	4609	401	4113	6642	10	32	0	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V2-64KiB-blocks	16	9866	2895	9881	2895	web-scheme	1	80	3	494	6775	4609	401	4113	6642	10	32	0	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V3-whole-file-ctx2	16	9866	2905	9881	2905	web-scheme	1	80	3	811	6477	4532	401	4113	6642	9	32	138	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V3-whole-file-ctx3	16	9866	2915	9881	2915	web-scheme	1	80	3	954	6431	4508	401	4113	6642	9	32	142	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V4-64KiB-blocks-ctx2	16	9866	2905	9881	2905	web-scheme	1	80	3	811	6477	4532	401	4113	6642	9	32	138	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V1-whole-file	128	9866	2884	9881	2884	web-scheme	1	80	3	499	6776	4553	409	4034	6671	10	32	0	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V2-64KiB-blocks	128	9866	2884	9881	2884	web-scheme	1	80	3	499	6776	4553	409	4034	6671	10	32	0	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V3-whole-file-ctx2	128	9866	2895	9881	2895	web-scheme	1	80	3	823	6468	4488	409	4034	6671	9	32	138	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V3-whole-file-ctx3	128	9866	2904	9881	2904	web-scheme	1	80	3	961	6422	4465	409	4034	6671	9	32	142	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V4-64KiB-blocks-ctx2	128	9866	2895	9881	2895	web-scheme	1	80	3	823	6468	4488	409	4034	6671	9	32	138	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V1-whole-file	1024	9866	2883	9881	2883	web-scheme	1	80	3	498	6759	4555	409	4024	6690	10	32	0	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V2-64KiB-blocks	1024	9866	2883	9881	2883	web-scheme	1	80	3	498	6759	4555	409	4024	6690	10	32	0	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V3-whole-file-ctx2	1024	9866	2894	9881	2894	web-scheme	1	80	3	821	6462	4481	409	4024	6690	9	32	138	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V3-whole-file-ctx3	1024	9866	2903	9881	2903	web-scheme	1	80	3	960	6416	4458	409	4024	6690	9	32	142	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V4-64KiB-blocks-ctx2	1024	9866	2894	9881	2894	web-scheme	1	80	3	821	6462	4481	409	4024	6690	9	32	138	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V1-whole-file	opt256	9866	2797	9881	2797	web-scheme	1	80	3	542	8275	4149	404	3462	5416	11	32	0	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V2-64KiB-blocks	opt256	9866	2797	9881	2797	web-scheme	1	80	3	542	8275	4149	404	3462	5416	11	32	0	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V3-whole-file-ctx2	opt256	9866	2807	9881	2807	web-scheme	1	80	3	849	7874	4185	404	3462	5416	10	32	138	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V3-whole-file-ctx3	opt256	9866	2817	9881	2817	web-scheme	1	80	3	1001	7823	4163	404	3462	5416	10	32	142	2895	2467	4154	2420
javascript-small-resolve-uri-v2	javascript	V4-64KiB-blocks-ctx2	opt256	9866	2807	9881	2807	web-scheme	1	80	3	849	7874	4185	404	3462	5416	10	32	138	2895	2467	4154	2420
json-api-large-world-benchmark-v2	json-api	V1-whole-file	16	320976	24351	320992	24351	web-scheme	1	88	3	678	28739	34635	5888	34521	90205	13	32	0	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V2-64KiB-blocks	16	320976	25750	320992	25750	web-scheme	5	88	15	2881	51546	35021	5892	31236	79232	55	32	0	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V3-whole-file-ctx2	16	320976	24283	320992	24283	web-scheme	1	88	3	1086	28090	34198	5888	34521	90205	12	32	138	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V3-whole-file-ctx3	16	320976	23923	320992	23923	web-scheme	1	88	3	1352	26532	32606	5888	34521	90205	12	32	142	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V4-64KiB-blocks-ctx2	16	320976	25812	320992	25812	web-scheme	5	88	15	4547	50710	34002	5892	31236	79232	52	32	690	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V1-whole-file	128	320976	23634	320992	23634	web-scheme	1	88	3	663	28146	32872	5969	32917	88365	13	32	0	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V2-64KiB-blocks	128	320976	25226	320992	25226	web-scheme	5	88	15	2875	50898	33834	5922	30294	77790	55	32	0	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V3-whole-file-ctx2	128	320976	23582	320992	23582	web-scheme	1	88	3	1058	27435	32633	5969	32917	88365	11	32	138	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V3-whole-file-ctx3	128	320976	23232	320992	23232	web-scheme	1	88	3	1318	25758	31247	5969	32917	88365	11	32	142	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V4-64KiB-blocks-ctx2	128	320976	25320	320992	25320	web-scheme	5	88	15	4557	50059	33060	5922	30294	77790	52	32	690	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V1-whole-file	1024	320976	23430	320992	23430	web-scheme	1	88	3	666	28114	32465	5950	32409	87697	13	32	0	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V2-64KiB-blocks	1024	320976	25163	320992	25163	web-scheme	5	88	15	2885	50771	33694	5909	30199	77655	55	32	0	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V3-whole-file-ctx2	1024	320976	23377	320992	23377	web-scheme	1	88	3	1057	27371	32253	5950	32409	87697	11	32	138	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V3-whole-file-ctx3	1024	320976	23030	320992	23030	web-scheme	1	88	3	1310	25710	30887	5950	32409	87697	11	32	142	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V4-64KiB-blocks-ctx2	1024	320976	25257	320992	25257	web-scheme	5	88	15	4547	49900	32964	5909	30199	77655	52	32	690	21196	14910	26451	13323
json-api-large-world-benchmark-v2	json-api	V1-whole-file	opt256	320976	19287	320992	19287	web-scheme	1	88	3	685	76740	21415	4873	13945	36499	14	32	0	21196	14910	26451	13323
